hotel_name,locations,price,rating_val,rating_score,review,distanc_main,fee_cancellation,link
Ramada by Wyndham Miami Springs/Miami International Airport,"Miami Springs, Miami",NA,Good,7.9,"4,747 reviews",9.4,N/A,https://www.booking.com/hotel/us/airwaysinn.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9taWFtaUgzWARoR4gBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCsL3WvgbAAgHSAiQxNmM4MzJlNi0yODI3LTQzYWItODRhZC02ODdlN2I3ZTQzYTPYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=dae66dd8ffe60783&srepoch=1742053041&from=searchresults
Kompose Boutique Miami Airport,Miami,NA,Superb,9.0,161 reviews,6.6,N/A,https://www.booking.com/hotel/us/kompose-boutique-miami-airport.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9taWFtaUgzWARoR4gBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCsL3WvgbAAgHSAiQxNmM4MzJlNi0yODI3LTQzYWItODRhZC02ODdlN2I3ZTQzYTPYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=dae66dd8ffe60783&srepoch=1742053041&from=searchresults
EAST Miami,"Brickell, Miami",NA,Fabulous,8.7,"3,185 reviews",N/A,N/A,https://www.booking.com/hotel/us/east-miami.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9taWFtaUgzWARoR4gBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCsL3WvgbAAgHSAiQxNmM4MzJlNi0yODI3LTQzYWItODRhZC02ODdlN2I3ZTQzYTPYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=dae66dd8ffe60783&srepoch=1742053041&from=searchresults
Quality Inn Miami Airport - Doral,"Doral, Miami",NA,Review score,5.3,"4,738 reviews",13.7,N/A,https://www.booking.com/hotel/us/quality-inn-miami-airport-west.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9taWFtaUgzWARoR4gBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCsL3WvgbAAgHSAiQxNmM4MzJlNi0yODI3LTQzYWItODRhZC02ODdlN2I3ZTQzYTPYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=dae66dd8ffe60783&srepoch=1742053041&from=searchresults
Embassy Suites by Hilton Miami International Airport,Miami,NA,Good,7.9,"1,586 reviews",8,N/A,https://www.booking.com/hotel/us/embassy-suites-miami-international-airport.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9taWFtaUgzWARoR4gBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCsL3WvgbAAgHSAiQxNmM4MzJlNi0yODI3LTQzYWItODRhZC02ODdlN2I3ZTQzYTPYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=dae66dd8ffe60783&srepoch=1742053041&from_sustainable_property_sr=1&from=searchresults
Holiday Inn Hotel Port of Miami-Downtown by IHG,"Downtown Miami, Miami",NA,Review score,6.2,"2,419 reviews",N/A,N/A,https://www.booking.com/hotel/us/holiday-inn-port-on-miami-downtown.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9taWFtaUgzWARoR4gBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCsL3WvgbAAgHSAiQxNmM4MzJlNi0yODI3LTQzYWItODRhZC02ODdlN2I3ZTQzYTPYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=dae66dd8ffe60783&srepoch=1742053041&from=searchresults
DoubleTree by Hilton Miami North I-95,Miami,NA,Good,7.5,"1,164 reviews",8.6,N/A,https://www.booking.com/hotel/us/holiday-inn-miami-79th-street.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9taWFtaUgzWARoR4gBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCsL3WvgbAAgHSAiQxNmM4MzJlNi0yODI3LTQzYWItODRhZC02ODdlN2I3ZTQzYTPYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=dae66dd8ffe60783&srepoch=1742053041&from=searchresults
Hyatt Place Miami Airport-West/Doral,"Doral, Miami",NA,Very good,8.2,"1,728 reviews",14.1,N/A,https://www.booking.com/hotel/us/hyatt-place-miami.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9taWFtaUgzWARoR4gBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCsL3WvgbAAgHSAiQxNmM4MzJlNi0yODI3LTQzYWItODRhZC02ODdlN2I3ZTQzYTPYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=dae66dd8ffe60783&srepoch=1742053041&from=searchresults
Extended Stay America Premier Suites - Miami - Airport - Doral - 25th Street,"Doral, Miami",NA,Review score,6.7,"1,277 reviews",13.3,N/A,https://www.booking.com/hotel/us/miami-airport-doral-25th-street.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9taWFtaUgzWARoR4gBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCsL3WvgbAAgHSAiQxNmM4MzJlNi0yODI3LTQzYWItODRhZC02ODdlN2I3ZTQzYTPYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=dae66dd8ffe60783&srepoch=1742053041&from=searchresults
Red Roof PLUS Miami Airport,Miami,NA,Review score,6.5,"5,895 reviews",8,N/A,https://www.booking.com/hotel/us/red-roof-inn-miami-airport.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9taWFtaUgzWARoR4gBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCsL3WvgbAAgHSAiQxNmM4MzJlNi0yODI3LTQzYWItODRhZC02ODdlN2I3ZTQzYTPYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=dae66dd8ffe60783&srepoch=1742053041&from=searchresults
Sheraton Miami Airport Hotel and Executive Meeting Center,Miami,NA,Good,7.7,"3,704 reviews",7.2,N/A,https://www.booking.com/hotel/us/sheraton-miami-airport-hotel-miami-fl.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9taWFtaUgzWARoR4gBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCsL3WvgbAAgHSAiQxNmM4MzJlNi0yODI3LTQzYWItODRhZC02ODdlN2I3ZTQzYTPYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=dae66dd8ffe60783&srepoch=1742053041&from=searchresults
Clarion Inn & Suites Miami International Airport,"Miami Springs, Miami",NA,Review score,6.7,"5,384 reviews",9.8,N/A,https://www.booking.com/hotel/us/clarion-inn-suites-miami-international-airport.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9taWFtaUgzWARoR4gBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCsL3WvgbAAgHSAiQxNmM4MzJlNi0yODI3LTQzYWItODRhZC02ODdlN2I3ZTQzYTPYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=dae66dd8ffe60783&srepoch=1742053041&from=searchresults
Zstir Viviant,"Downtown Miami, Miami",NA,Exceptional,10,2 reviews,N/A,N/A,https://www.booking.com/hotel/us/miami-condo.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9taWFtaUgzWARoR4gBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCsL3WvgbAAgHSAiQxNmM4MzJlNi0yODI3LTQzYWItODRhZC02ODdlN2I3ZTQzYTPYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=dae66dd8ffe60783&srepoch=1742053041&from=searchresults
Hilton Miami Airport Blue Lagoon,Miami,NA,Good,7.2,"3,353 reviews",8.8,N/A,https://www.booking.com/hotel/us/hilton-miami-airport.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9taWFtaUgzWARoR4gBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCsL3WvgbAAgHSAiQxNmM4MzJlNi0yODI3LTQzYWItODRhZC02ODdlN2I3ZTQzYTPYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=dae66dd8ffe60783&srepoch=1742053041&from_sustainable_property_sr=1&from=searchresults
B&B Hotel Miami Airport,"Miami Springs, Miami",NA,Very good,8.0,"1,121 reviews",9.5,N/A,https://www.booking.com/hotel/us/holiday-inn-expres-miami-spings.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9taWFtaUgzWARoR4gBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCsL3WvgbAAgHSAiQxNmM4MzJlNi0yODI3LTQzYWItODRhZC02ODdlN2I3ZTQzYTPYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=dae66dd8ffe60783&srepoch=1742053041&from=searchresults
