hotel_name,locations,price,rating_val,rating_score,review,link
Hyatt Regency Addis Ababa,"Kirkos, Addis Ababa",247,Very Good,8.4,220 reviews,https://www.booking.com/hotel/et/hyatt-regency-addis-ababa.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-03-16&checkout=2025-03-17&dest_id=-603097&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=8f4d619cd85703b0&srepoch=1742046777&all_sr_blocks=447025501_350780052_2_42_0&highlighted_blocks=447025501_350780052_2_42_0&matching_block_id=447025501_350780052_2_42_0&sr_pri_blocks=447025501_350780052_2_42_0__24668&from=searchresults
Shitaye Suite Hotel,"Kirkos, Addis Ababa",52,Very Good,8.3,92 reviews,https://www.booking.com/hotel/et/shitaye-suite.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-03-16&checkout=2025-03-17&dest_id=-603097&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=8f4d619cd85703b0&srepoch=1742046777&all_sr_blocks=1170942801_389648576_2_1_0&highlighted_blocks=1170942801_389648576_2_1_0&matching_block_id=1170942801_389648576_2_1_0&sr_pri_blocks=1170942801_389648576_2_1_0__5184&from=searchresults
Melodie Hotel,"Bole, Addis Ababa",38,Good,7.3,18 reviews,https://www.booking.com/hotel/et/melodie-addis-ababa.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-03-16&checkout=2025-03-17&dest_id=-603097&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=8f4d619cd85703b0&srepoch=1742046777&all_sr_blocks=212004801_96163704_0_42_0&highlighted_blocks=212004801_96163704_0_42_0&matching_block_id=212004801_96163704_0_42_0&sr_pri_blocks=212004801_96163704_0_42_0__3800&from=searchresults
Loft Hotel Apartment,"Bole, Addis Ababa",113,Excellent,8.9,88 reviews,https://www.booking.com/hotel/et/loft-apartment.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-03-16&checkout=2025-03-17&dest_id=-603097&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=8f4d619cd85703b0&srepoch=1742046777&all_sr_blocks=897618203_360422982_2_1_0&highlighted_blocks=897618203_360422982_2_1_0&matching_block_id=897618203_360422982_2_1_0&sr_pri_blocks=897618203_360422982_2_1_0__11250&from=searchresults
Best Western Plus Pearl Addis,"Bole, Addis Ababa",82,Very Good,8.0,"1,092 reviews",https://www.booking.com/hotel/et/best-western-plus-pearl-addis.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-03-16&checkout=2025-03-17&dest_id=-603097&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=8f4d619cd85703b0&srepoch=1742046777&all_sr_blocks=620346003_0_2_0_0&highlighted_blocks=620346003_0_2_0_0&matching_block_id=620346003_0_2_0_0&sr_pri_blocks=620346003_0_2_0_0__8217&from=searchresults
Best Western Plus Addis Ababa,"Bole, Addis Ababa",100,Very Good,8.3,493 reviews,https://www.booking.com/hotel/et/bestwestern-plus-bole.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-03-16&checkout=2025-03-17&dest_id=-603097&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=8f4d619cd85703b0&srepoch=1742046777&all_sr_blocks=258676415_346754840_2_0_0&highlighted_blocks=258676415_346754840_2_0_0&matching_block_id=258676415_346754840_2_0_0&sr_pri_blocks=258676415_346754840_2_0_0__10000&from=searchresults
Abyssinia Renaissance Hotel,"Bole, Addis Ababa",54,Good,7.4,162 reviews,https://www.booking.com/hotel/et/abyssinia-renaissance.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-03-16&checkout=2025-03-17&dest_id=-603097&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=8f4d619cd85703b0&srepoch=1742046777&all_sr_blocks=161331008_223671952_2_1_0_517437&highlighted_blocks=161331008_223671952_2_1_0_517437&matching_block_id=161331008_223671952_2_1_0_517437&sr_pri_blocks=161331008_223671952_2_1_0_517437_5400&from=searchresults
Check Inn Hotel Addis Ababa,"Bole, Addis Ababa",45,Very Good,8.4,384 reviews,https://www.booking.com/hotel/et/checkinn-addis-ababa.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-03-16&checkout=2025-03-17&dest_id=-603097&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=8f4d619cd85703b0&srepoch=1742046777&all_sr_blocks=725391001_352847258_0_41_0_585811&highlighted_blocks=725391001_352847258_0_41_0_585811&matching_block_id=725391001_352847258_0_41_0_585811&sr_pri_blocks=725391001_352847258_0_41_0_585811_4469&from=searchresults
Abaት Guest House,"Bole, Addis Ababa",56,Very Good,8.5,25 reviews,https://www.booking.com/hotel/et/abaate-guest-house.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-03-16&checkout=2025-03-17&dest_id=-603097&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=8f4d619cd85703b0&srepoch=1742046777&all_sr_blocks=1230832904_395068320_0_2_0&highlighted_blocks=1230832904_395068320_0_2_0&matching_block_id=1230832904_395068320_0_2_0&sr_pri_blocks=1230832904_395068320_0_2_0__5600&from=searchresults
"Sheraton Addis, a Luxury Collection Hotel, Addis Ababa","Kirkos, Addis Ababa",259,Excellent,8.6,207 reviews,https://www.booking.com/hotel/et/sheraton.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-03-16&checkout=2025-03-17&dest_id=-603097&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=8f4d619cd85703b0&srepoch=1742046777&all_sr_blocks=135413408_246433047_0_2_0&highlighted_blocks=135413408_246433047_0_2_0&matching_block_id=135413408_246433047_0_2_0&sr_pri_blocks=135413408_246433047_0_2_0__25900&from=searchresults
Monarch Hotel,"Arada, Addis Ababa",42,Good,7.3,284 reviews,https://www.booking.com/hotel/et/monarch.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-03-16&checkout=2025-03-17&dest_id=-603097&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=8f4d619cd85703b0&srepoch=1742046777&all_sr_blocks=122544205_0_2_1_0&highlighted_blocks=122544205_0_2_1_0&matching_block_id=122544205_0_2_1_0&sr_pri_blocks=122544205_0_2_1_0__4194&from=searchresults
The HUB Hotel,"Bole, Addis Ababa",75,Very Good,8.1,255 reviews,https://www.booking.com/hotel/et/westfield-the-hub.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-03-16&checkout=2025-03-17&dest_id=-603097&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=8f4d619cd85703b0&srepoch=1742046777&all_sr_blocks=454636603_138563645_2_1_0_591053&highlighted_blocks=454636603_138563645_2_1_0_591053&matching_block_id=454636603_138563645_2_1_0_591053&sr_pri_blocks=454636603_138563645_2_1_0_591053_7524&from=searchresults
AYA Addis Hotel,"Bole, Addis Ababa",79,Very Good,8.1,93 reviews,https://www.booking.com/hotel/et/aya-addis.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-03-16&checkout=2025-03-17&dest_id=-603097&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=8f4d619cd85703b0&srepoch=1742046777&all_sr_blocks=1145768202_387412020_2_2_0&highlighted_blocks=1145768202_387412020_2_2_0&matching_block_id=1145768202_387412020_2_2_0&sr_pri_blocks=1145768202_387412020_2_2_0__7920&from=searchresults
Haile Grand Addis Ababa,"Yeka, Addis Ababa",159,Wonderful,9.0,184 reviews,https://www.booking.com/hotel/et/haile-grand-addis-ababa.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-03-16&checkout=2025-03-17&dest_id=-603097&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=8f4d619cd85703b0&srepoch=1742046777&all_sr_blocks=917566001_363298839_2_1_0_378063&highlighted_blocks=917566001_363298839_2_1_0_378063&matching_block_id=917566001_363298839_2_1_0_378063&sr_pri_blocks=917566001_363298839_2_1_0_378063_15939&from=searchresults
Hotel Lobelia,"Bole, Addis Ababa",41,Very Good,8.1,896 reviews,https://www.booking.com/hotel/et/lobelia.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-03-16&checkout=2025-03-17&dest_id=-603097&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=8f4d619cd85703b0&srepoch=1742046777&all_sr_blocks=125818201_0_2_1_0&highlighted_blocks=125818201_0_2_1_0&matching_block_id=125818201_0_2_1_0&sr_pri_blocks=125818201_0_2_1_0__4081&from=searchresults
